Treatment 	Experiment	Block	Visual	Biomass
1	1	1	0	202.484
1	1	2	0	252.756
1	1	3	0	318.876
1	1	4	0	235.7
2	1	1	65	38.76
2	1	2	50	180.904
2	1	3	60	42.884
2	1	4	70	341.816
3	1	1	80	58.976
3	1	2	60	100.712
3	1	3	40	347.108
3	1	4	55	129.78
4	1	1	95	158.424
4	1	2	50	33.32
4	1	3	90	73.732
4	1	4	60	80.632
5	1	1	70	6.22
5	1	2	100	7.98
5	1	3	95	0.001
5	1	4	95	6.064
6	1	1	80	66.856
6	1	2	100	41.308
6	1	3	70	61.892
6	1	4	80	45.66
7	1	1	70	350.648
7	1	2	30	327.8
7	1	3	20	384.384
7	1	4	30	308.568
8	1	1	40	164.032
8	1	2	40	214.756
8	1	3	40	259.952
8	1	4	30	122.624
9	1	1	60	36.74
9	1	2	50	57.264
9	1	3	80	86.252
9	1	4	80	49.8
10	1	1	80	0.001
10	1	2	100	0.001
10	1	3	80	0.001
10	1	4	100	0.001
11	1	1	100	48.66
11	1	2	80	67.304
11	1	3	70	63.808
11	1	4	90	87.272
12	1	1	85	589.968
12	1	2	20	180.648
12	1	3	10	252.72
12	1	4	40	326.188
13	1	1	30	295.276
13	1	2	40	147.656
13	1	3	60	533.152
13	1	4	40	182.092
14	1	1	40	122.104
14	1	2	40	210.588
14	1	3	60	155.024
14	1	4	60	164.92
15	1	1	60	5.328
15	1	2	100	7.98
15	1	3	100	4.576
15	1	4	95	0.001
16	1	1	90	57.264
16	1	2	70	67.808
16	1	3	80	84.008
16	1	4	90	60.02
1	2	1	0	228.156
1	2	2	0	322.74
1	2	3	0	281.416
1	2	4	0	320.128
2	2	1	40	106.912
2	2	2	50	197.244
2	2	3	70	39.68
2	2	4	50	150.828
3	2	1	80	36.176
3	2	2	90	30.46
3	2	3	50	13.804
3	2	4	40	29.744
4	2	1	95	4.996
4	2	2	100	0.001
4	2	3	100	0.001
4	2	4	100	7.356
5	2	1	100	0.001
5	2	2	100	0.001
5	2	3	50	6.86
5	2	4	100	0.001
6	2	1	90	14.596
6	2	2	90	31.484
6	2	3	100	24.428
6	2	4	100	0.001
7	2	1	50	84.18
7	2	2	60	76.2
7	2	3	60	121.22
7	2	4	30	122.756
8	2	1	40	62.824
8	2	2	50	113.996
8	2	3	60	99.232
8	2	4	60	118.016
9	2	1	60	40.996
9	2	2	50	91.244
9	2	3	50	59.144
9	2	4	70	32.416
10	2	1	100	0.001
10	2	2	100	0.001
10	2	3	80	14.684
10	2	4	100	0.001
11	2	1	100	0.001
11	2	2	100	0.676
11	2	3	100	0.001
11	2	4	100	0.001
12	2	1	70	59.736
12	2	2	80	39.464
12	2	3	100	63.54
12	2	4	60	70.664
13	2	1	50	61.82
13	2	2	60	65.536
13	2	3	40	148.512
13	2	4	40	151.14
14	2	1	100	0.001
14	2	2	100	0.001
14	2	3	80	22.016
14	2	4	100	0.001
15	2	1	100	0.001
15	2	2	100	0.001
15	2	3	100	0.001
15	2	4	100	0.001
16	2	1	100	0.001
16	2	2	100	0.001
16	2	3	100	0.001
16	2	4	100	0.001
